city,date,n,no_killed,no_injured
Seattle,2013-07-07,25,0,
Seattle,2013-07-08,26,0,
Seattle,2013-07-09,34,0,
Seattle,2013-07-10,28,0,
Seattle,2013-07-11,41,0,
Seattle,2013-07-12,35,0,
Seattle,2013-07-13,38,0,
Seattle,2013-07-14,29,0,
Seattle,2013-07-15,29,0,
Seattle,2013-07-16,41,0,
Seattle,2013-07-17,40,0,
Seattle,2013-07-18,33,0,
Seattle,2013-07-19,54,0,
Seattle,2013-07-20,30,0,
Seattle,2013-07-21,26,0,
Seattle,2013-07-22,39,0,
Seattle,2013-07-23,42,0,
Seattle,2013-07-24,46,0,
Seattle,2013-07-25,54,0,
Seattle,2013-07-26,47,1,
Seattle,2013-07-27,43,1,
Seattle,2013-07-28,23,0,
Seattle,2013-07-29,27,0,
Seattle,2013-07-30,39,0,
Seattle,2013-07-31,32,0,
Seattle,2013-08-01,37,0,
Seattle,2013-08-02,45,0,
Seattle,2013-08-03,31,0,
Seattle,2013-08-04,40,1,
Seattle,2013-08-05,47,0,
Seattle,2013-08-06,34,0,
Seattle,2013-08-07,37,0,
Seattle,2013-08-08,36,0,
Seattle,2013-08-09,46,0,
Seattle,2013-08-10,40,0,
Seattle,2013-08-11,30,0,
Seattle,2013-08-12,25,0,
Seattle,2013-08-13,36,0,
Seattle,2013-08-14,40,0,
Seattle,2013-08-15,49,0,
Seattle,2013-08-16,43,0,
Seattle,2013-08-17,33,0,
Seattle,2013-08-18,36,0,
Seattle,2013-08-19,26,0,
Seattle,2013-08-20,37,0,
Seattle,2013-08-21,36,0,
Seattle,2013-08-22,25,0,
Seattle,2013-08-23,31,0,
Seattle,2013-08-24,30,0,
Seattle,2013-08-25,30,0,
Seattle,2013-08-26,38,0,
Seattle,2013-08-27,36,0,
Seattle,2013-08-28,35,1,
Seattle,2013-08-29,53,0,
Seattle,2013-08-30,36,0,
Seattle,2013-08-31,33,0,
Seattle,2013-09-01,34,0,
Seattle,2013-09-02,15,0,
Seattle,2013-09-03,36,0,
Seattle,2013-09-04,24,0,
Seattle,2013-09-05,35,0,
Seattle,2013-09-06,46,0,
Seattle,2013-09-07,32,0,
Seattle,2013-09-08,24,0,
Seattle,2013-09-09,30,0,
Seattle,2013-09-10,43,0,
Seattle,2013-09-11,57,0,
Seattle,2013-09-12,33,0,
Seattle,2013-09-13,29,0,
Seattle,2013-09-14,33,0,
Seattle,2013-09-15,32,0,
Seattle,2013-09-16,28,0,
Seattle,2013-09-17,28,0,
Seattle,2013-09-18,29,0,
Seattle,2013-09-19,36,0,
Seattle,2013-09-20,38,0,
Seattle,2013-09-21,36,1,
Seattle,2013-09-22,43,0,
Seattle,2013-09-23,36,0,
Seattle,2013-09-24,31,0,
Seattle,2013-09-25,41,1,
Seattle,2013-09-26,36,1,
Seattle,2013-09-27,35,0,
Seattle,2013-09-28,55,0,
Seattle,2013-09-29,51,1,
Seattle,2013-09-30,53,0,
Seattle,2013-10-01,47,0,
Seattle,2013-10-02,36,0,
Seattle,2013-10-03,31,0,
Seattle,2013-10-04,37,0,
Seattle,2013-10-05,49,0,
Seattle,2013-10-06,22,0,
Seattle,2013-10-07,27,0,
Seattle,2013-10-08,38,0,
Seattle,2013-10-09,37,0,
Seattle,2013-10-10,33,0,
Seattle,2013-10-11,40,0,
Seattle,2013-10-12,44,0,
Seattle,2013-10-13,24,1,
Seattle,2013-10-14,40,0,
Seattle,2013-10-15,31,0,
Seattle,2013-10-16,36,0,
Seattle,2013-10-17,26,0,
Seattle,2013-10-18,28,0,
Seattle,2013-10-19,34,1,
Seattle,2013-10-20,18,0,
Seattle,2013-10-21,30,0,
Seattle,2013-10-22,41,1,
Seattle,2013-10-23,34,0,
Seattle,2013-10-24,28,0,
Seattle,2013-10-25,45,0,
Seattle,2013-10-26,34,0,
Seattle,2013-10-27,30,0,
Seattle,2013-10-28,43,1,
Seattle,2013-10-29,32,0,
Seattle,2013-10-30,44,0,
Seattle,2013-10-31,37,0,
Seattle,2013-11-01,30,0,
Seattle,2013-11-02,47,0,
Seattle,2013-11-03,24,0,
Seattle,2013-11-04,35,0,
Seattle,2013-11-05,53,0,
Seattle,2013-11-06,33,0,
Seattle,2013-11-07,69,0,
Seattle,2013-11-08,38,0,
Seattle,2013-11-09,43,0,
Seattle,2013-11-10,25,0,
Seattle,2013-11-11,27,0,
Seattle,2013-11-12,41,0,
Seattle,2013-11-13,38,0,
Seattle,2013-11-14,46,0,
Seattle,2013-11-15,46,0,
Seattle,2013-11-16,33,0,
Seattle,2013-11-17,26,0,
Seattle,2013-11-18,56,0,
Seattle,2013-11-19,54,0,
Seattle,2013-11-20,37,0,
Seattle,2013-11-21,47,0,
Seattle,2013-11-22,36,0,
Seattle,2013-11-23,42,0,
Seattle,2013-11-24,23,0,
Seattle,2013-11-25,26,0,
Seattle,2013-11-26,43,0,
Seattle,2013-11-27,30,0,
Seattle,2013-11-28,20,0,
Seattle,2013-11-29,15,0,
Seattle,2013-11-30,25,0,
Seattle,2013-12-01,24,0,
Seattle,2013-12-02,39,0,
Seattle,2013-12-03,34,0,
Seattle,2013-12-04,21,0,
Seattle,2013-12-05,30,0,
Seattle,2013-12-06,45,0,
Seattle,2013-12-07,26,1,
Seattle,2013-12-08,23,0,
Seattle,2013-12-09,33,1,
Seattle,2013-12-10,36,0,
Seattle,2013-12-11,29,0,
Seattle,2013-12-12,43,0,
Seattle,2013-12-13,44,0,
Seattle,2013-12-14,31,0,
Seattle,2013-12-15,25,0,
Seattle,2013-12-16,33,1,
Seattle,2013-12-17,29,0,
Seattle,2013-12-18,31,0,
Seattle,2013-12-19,36,0,
Seattle,2013-12-20,36,0,
Seattle,2013-12-21,36,0,
Seattle,2013-12-22,34,0,
Seattle,2013-12-23,33,0,
Seattle,2013-12-24,33,0,
Seattle,2013-12-25,18,0,
Seattle,2013-12-26,20,0,
Seattle,2013-12-27,32,0,
Seattle,2013-12-28,33,0,
Seattle,2013-12-29,25,1,
Seattle,2013-12-30,21,0,
Seattle,2013-12-31,39,0,
Seattle,2014-01-01,27,2,
Seattle,2014-01-02,35,0,
Seattle,2014-01-03,27,0,
Seattle,2014-01-04,22,0,
Seattle,2014-01-05,27,0,
Seattle,2014-01-06,33,0,
Seattle,2014-01-07,46,0,
Seattle,2014-01-08,45,0,
Seattle,2014-01-09,50,0,
Seattle,2014-01-10,56,0,
Seattle,2014-01-11,37,0,
Seattle,2014-01-12,20,0,
Seattle,2014-01-13,26,0,
Seattle,2014-01-14,24,0,
Seattle,2014-01-15,23,0,
Seattle,2014-01-16,20,0,
Seattle,2014-01-17,27,0,
Seattle,2014-01-18,31,0,
Seattle,2014-01-19,27,0,
Seattle,2014-01-20,25,0,
Seattle,2014-01-21,36,0,
Seattle,2014-01-22,25,0,
Seattle,2014-01-23,30,0,
Seattle,2014-01-24,23,0,
Seattle,2014-01-25,35,0,
Seattle,2014-01-26,25,0,
Seattle,2014-01-27,38,0,
Seattle,2014-01-28,36,0,
Seattle,2014-01-29,43,0,
Seattle,2014-01-30,25,0,
Seattle,2014-01-31,43,0,
Seattle,2014-02-01,28,0,
Seattle,2014-02-02,32,0,
Seattle,2014-02-03,43,0,
Seattle,2014-02-04,36,0,
Seattle,2014-02-05,40,1,
Seattle,2014-02-06,33,0,
Seattle,2014-02-07,36,0,
Seattle,2014-02-08,65,0,
Seattle,2014-02-09,29,0,
Seattle,2014-02-10,35,0,
Seattle,2014-02-11,40,0,
Seattle,2014-02-12,36,0,
Seattle,2014-02-13,38,0,
Seattle,2014-02-14,45,0,
Seattle,2014-02-15,21,0,
Seattle,2014-02-16,22,0,
Seattle,2014-02-17,27,0,
Seattle,2014-02-18,31,0,
Seattle,2014-02-19,32,0,
Seattle,2014-02-20,29,0,
Seattle,2014-02-21,29,0,
Seattle,2014-02-22,31,0,
Seattle,2014-02-23,22,0,
Seattle,2014-02-24,35,0,
Seattle,2014-02-25,35,0,
Seattle,2014-02-26,27,0,
Seattle,2014-02-27,21,0,
Seattle,2014-02-28,44,1,
Seattle,2014-03-01,40,0,
Seattle,2014-03-02,35,0,
Seattle,2014-03-03,35,0,
Seattle,2014-03-04,43,0,
Seattle,2014-03-05,50,0,
Seattle,2014-03-06,44,0,
Seattle,2014-03-07,28,0,
Seattle,2014-03-08,42,0,
Seattle,2014-03-09,25,1,
Seattle,2014-03-10,36,0,
Seattle,2014-03-11,41,0,
Seattle,2014-03-12,19,0,
Seattle,2014-03-13,27,0,
Seattle,2014-03-14,41,0,
Seattle,2014-03-15,26,0,
Seattle,2014-03-16,30,0,
Seattle,2014-03-17,32,0,
Seattle,2014-03-18,31,0,
Seattle,2014-03-19,31,0,
Seattle,2014-03-20,33,0,
Seattle,2014-03-21,39,0,
Seattle,2014-03-22,31,0,
Seattle,2014-03-23,23,0,
Seattle,2014-03-24,28,0,
Seattle,2014-03-25,35,0,
Seattle,2014-03-26,40,0,
Seattle,2014-03-27,30,0,
Seattle,2014-03-28,47,0,
Seattle,2014-03-29,33,0,
Seattle,2014-03-30,30,0,
Seattle,2014-03-31,26,0,
Seattle,2014-04-01,24,0,
Seattle,2014-04-02,30,0,
Seattle,2014-04-03,33,0,
Seattle,2014-04-04,31,0,
Seattle,2014-04-05,36,0,
Seattle,2014-04-06,23,0,
Seattle,2014-04-07,37,0,
Seattle,2014-04-08,47,0,
Seattle,2014-04-09,41,0,
Seattle,2014-04-10,41,0,
Seattle,2014-04-11,46,0,
Seattle,2014-04-12,34,0,
